"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GENEID"
"1","ENSNVIG00000000002",311.460571664705,-0.0498313676998009,0.242907525412238,-0.205145425672721,0.837458506524163,0.94568251232939,"RTKN"
"2","ENSNVIG00000000003",0,NA,NA,NA,NA,NA,"U4"
"3","ENSNVIG00000000004",168.455821239355,-0.63124416023628,0.541019818510958,-1.16676716570873,0.243304410180178,0.599018498521982,"OSR2"
"4","ENSNVIG00000000006",2.88032400626566,-1.59325404809298,1.52720230185413,-1.04325016152651,0.296832446901896,NA,""
"5","ENSNVIG00000000007",8213.88987516715,-0.691225360688899,0.443534892975291,-1.55844640779459,0.11912746280322,0.449056570259124,"ATP2B1"
"6","ENSNVIG00000000008",728.500705828699,-0.145729827523419,0.206974259079601,-0.704096384601004,0.481372751488528,0.77688063767667,"RSBN1L"
"7","ENSNVIG00000000009",0.316978273195137,1.83503505689917,4.04666973058456,0.453467957374937,0.650211811472943,NA,"CDHR4"
"8","ENSNVIG00000000011",2.53369372406941,-0.529122496020989,1.70432788203473,-0.3104581586668,0.75621257310948,NA,""
"9","ENSNVIG00000000012",43.201036069393,-0.0683226448743977,0.39537165649287,-0.172806127481295,0.862803820473795,0.955434542324155,""
"10","ENSNVIG00000000013",24.2414449353088,0.0171136245931261,0.471652164619118,0.0362844186392024,0.971055573883677,0.991001271549102,""
"11","ENSNVIG00000000014",0.475125486892248,-0.791715937234056,3.3871098929983,-0.233743799948936,0.815183882047452,NA,"IRX2"
"12","ENSNVIG00000000016",31.4734473812935,0.167946936410496,0.659187556677956,0.254778681285918,0.798894041888948,0.931859993426362,""
"13","ENSNVIG00000000017",4963.33431101202,-0.453837553294073,0.279971972410648,-1.62101066541192,0.105015351367318,0.426092692541042,"VPS13B"
"14","ENSNVIG00000000018",0.816439996962798,3.18901303326905,3.96207848375151,0.804883862434124,0.420886701610748,NA,""
"15","ENSNVIG00000000019",10.4538368747214,-0.0555557514437959,0.970797924406604,-0.0572268955743329,0.954364453692423,0.986112740652079,"U2"
"16","ENSNVIG00000000020",0,NA,NA,NA,NA,NA,""
