"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GENEID","hgnc_id"
"50","ENSNVIG00000000054",950.694070946486,0.655185359007697,0.291267814965922,2.2494258731757,0.0244854140289195,0.224338071827583,"USP6NL","HGNC:16858"
"51","ENSNVIG00000000055",556.572594675986,-1.10691891761612,0.455532948485427,-2.42994260085124,0.0151012141821419,0.175798625842511,"SETBP1","HGNC:15573"
"69","ENSNVIG00000000073",1973.51115341176,1.10843961485948,0.399562825031255,2.77413098871942,0.00553493871526272,0.103424762438867,"C2CD5","HGNC:29062"
"75","ENSNVIG00000000079",1089.51607184446,2.10217661677988,0.69812657195057,3.01116831996007,0.00260244547241419,0.0670129659012543,"ABAT","HGNC:23"
"79","ENSNVIG00000000083",2726.26470707203,2.339026520348,0.598182319593159,3.91022342809939,9.22107876381647e-05,0.00841102450279259,"ATP11C","HGNC:13554"
"82","ENSNVIG00000000086",613.940809293772,-0.647258469247614,0.25037551725021,-2.58515080210812,0.00973364144215225,0.138827845840384,"PCK2","HGNC:8725"
"114","ENSNVIG00000000123",259.27085233923,0.603751210497443,0.299511744552506,2.01578476129373,0.0438224877177395,0.288310496346966,"METTL22","HGNC:28368"
"137","ENSNVIG00000000148",530.235168993292,0.570591216676504,0.270467032472159,2.10965163281125,0.0348883734562322,0.26583838465401,"L3MBTL3","HGNC:23035"
"149","ENSNVIG00000000160",74.6599968111076,2.06431410219673,0.743166393636975,2.77772800260007,0.00547404199719977,0.102992027759325,"GRTP1","HGNC:20310"
"168","ENSNVIG00000000179",61.136568868021,1.46078866841809,0.466053009227546,3.13438308410294,0.00172215866177302,0.0518157633266655,"MED10","HGNC:28760"
"175","ENSNVIG00000000188",293.426259761978,2.73629330413587,0.660727732027668,4.14133261175314,3.45293815487907e-05,0.00434279738149974,"FAM81A","HGNC:28379"
"186","ENSNVIG00000000200",978.694104575927,-0.432370966466778,0.194525169225396,-2.22269934625164,0.0262360800218021,0.232938781025705,"IGSF3","HGNC:5950"
"200","ENSNVIG00000000216",728.06749746043,-1.08672117058885,0.498110169789044,-2.18168838240964,0.0291325389207097,0.245008077223757,"CCSER1","HGNC:29349"
"205","ENSNVIG00000000222",1304.35117240124,1.1773630535559,0.313780127500629,3.75219126505561,0.000175295641975218,0.0132270198541719,"ARHGAP18","HGNC:21035"
"208","ENSNVIG00000000225",3042.28705795305,1.30481342425002,0.380713060088215,3.42728832036307,0.000609641402344155,0.0290932181807416,"MYO1E","HGNC:7599"
"233","ENSNVIG00000000251",94.3745564204255,-1.0813001581537,0.517057171003374,-2.09125841162861,0.0365049057147439,0.268971728609861,"CD101","HGNC:5949"
"234","ENSNVIG00000000252",705.399295604257,-1.74067868923991,0.69442229909701,-2.50665724805122,0.0121878832257142,0.157960227562044,"IMPDH1","HGNC:6052"
"255","ENSNVIG00000000273",4436.06296150049,0.353887347069535,0.163376829796925,2.1660803891801,0.0303050444917543,0.250282541231856,"LAMA2","HGNC:6482"
"258","ENSNVIG00000000278",51.0125621493307,-1.17258907816174,0.377321920053569,-3.10766222644915,0.00188573457463303,0.0550145884405084,"MAP6","HGNC:6868"
"261","ENSNVIG00000000281",864.507959903293,1.04942498477143,0.504115086648207,2.08171707724305,0.0373683198382937,0.271976032092706,"DUSP6","HGNC:3072"
"263","ENSNVIG00000000283",127.560750376908,2.35829187592973,0.618960588836378,3.81008406425881,0.000138919547305358,0.0111849637752224,"CCNB2","HGNC:1580"
"268","ENSNVIG00000000288",426.654047758234,0.868081116094348,0.415885843597798,2.08730623909831,0.0368604611717408,0.269935450410126,"MSTN","HGNC:4223"
"286","ENSNVIG00000000308",155.925527474902,1.51956104794318,0.664057424280997,2.28829765677038,0.0221201928852968,0.214172445099729,"FANCM","HGNC:23168"
"303","ENSNVIG00000000326",221.509308929335,1.22003706237989,0.564600651989748,2.16088496901354,0.0307042262768323,0.25128296939336,"TIMELESS","HGNC:11813"
"321","ENSNVIG00000000345",2133.90542739898,0.537425363841115,0.236019216772992,2.27704070536774,0.0227837949720695,0.216697810451486,"CEP290","HGNC:29021"
"322","ENSNVIG00000000346",304.282352151493,1.00141278249801,0.421024172897735,2.37851612083388,0.0173824768428376,0.188650313127845,"MIS18BP1","HGNC:20190"
"323","ENSNVIG00000000347",1533.99622245284,1.95420458102786,0.631518189506249,3.09445493969976,0.00197174883375367,0.0562709785981344,"FRY","HGNC:20367"
"361","ENSNVIG00000000391",351.567508715598,5.21794598861825,0.931029689498918,5.60448935997579,2.08869820314889e-08,2.31556296182937e-05,"WNT11","HGNC:12776"
"372","ENSNVIG00000000404",70.4711280006419,1.79116259709534,0.754365853629461,2.37439511409161,0.0175777294326151,0.189709549085103,"ESPL1","HGNC:16856"
"379","ENSNVIG00000000411",92.4143911543248,-1.78844485542942,0.539232145279013,-3.3166510399784,0.000911033286848184,0.036778184117804,"ATP1A2","HGNC:800"
"389","ENSNVIG00000000421",3456.24742795582,1.04788066738745,0.4651000251752,2.25302216871032,0.0242577512214201,0.223687313703407,"ACO2","HGNC:118"
"395","ENSNVIG00000000428",195.491108627298,-1.42070407574786,0.530541080697945,-2.67783990238583,0.00740986267615555,0.121078164272963,"SGPP2","HGNC:19953"
"401","ENSNVIG00000000434",21.4728904150665,-2.14634055989906,0.655985059178857,-3.27193513002536,0.00106814081076508,0.0402985480752524,"REC8","HGNC:16879"
"416","ENSNVIG00000000450",192.367494594328,2.39426226050078,0.715659476154425,3.34553281312821,0.00082124641314326,0.0350171695450315,"MOGAT1","HGNC:18210"
"439","ENSNVIG00000000473",1198.6264323302,0.920874844078769,0.381676011817887,2.41271344167722,0.0158342632395064,0.180594161486597,"ALAS1","HGNC:396"
"447","ENSNVIG00000000481",599.122925796393,1.16223580164312,0.454864023893433,2.55512799560382,0.0106148756928083,0.145558124152952,"C12orf29","HGNC:25322"
"453","ENSNVIG00000000487",955.387062046206,-0.460839776697453,0.217287688124219,-2.12087385473032,0.0339324194202601,0.264268945429721,"ZC3H7B","HGNC:30869"
"456","ENSNVIG00000000490",1556.3854105275,0.614047709048067,0.29683569585433,2.06864510442641,0.0385794020705085,0.274435509694061,"FBXL5","HGNC:13602"
"461","ENSNVIG00000000496",970.74898878834,0.567593240458847,0.283586392165805,2.00148263858511,0.0453404029077764,0.293398653350449,"ACOT9","HGNC:17152"
"464","ENSNVIG00000000499",307.713981299098,-1.79251002520478,0.736703718707776,-2.43314914759621,0.0149681338510124,0.174814218039539,"KCNE4","HGNC:6244"
"465","ENSNVIG00000000500",542.4182088535,0.432454546709123,0.18454481310693,2.3433579054782,0.0191110403572237,0.198791391362897,"MGAT2","HGNC:7045"
"475","ENSNVIG00000000510",493.698095270979,0.774379012132363,0.382429661946981,2.02489265134387,0.0428783883620201,0.285963820204328,"RANGAP1","HGNC:9854"
"479","ENSNVIG00000000514",389.214948411983,1.66450344224007,0.587366641467757,2.83384061117376,0.00459922652573156,0.0943419878297397,"AP1S3","HGNC:18971"
"481","ENSNVIG00000000517",11317.7496949397,1.16960010994743,0.375821478607897,3.1121161948482,0.00185751372322068,0.0545047386578004,"C7","HGNC:1346"
"508","ENSNVIG00000000548",461.431546382687,0.550842251338708,0.279166162830597,1.97316983460123,0.0484762160293316,0.302834514700792,"MRPL44","HGNC:16650"
"527","ENSNVIG00000000569",1690.02070251876,0.695659748672672,0.287261620657441,2.42169401913333,0.015448351978899,0.177967007346358,"PRDX4","HGNC:17169"
"530","ENSNVIG00000000574",1146.89053701381,0.441624870138342,0.218734682460477,2.01899792557195,0.0434874351162986,0.287700201541039,"NUP155","HGNC:8063"
"535","ENSNVIG00000000579",633.736816011714,0.855744270196386,0.363739371647615,2.35263030867447,0.0186411569844639,0.195244443648324,"BAG1","HGNC:937"
"547","ENSNVIG00000000593",992.061808487342,-0.797030909987628,0.385510108609803,-2.0674708449587,0.0386898086721939,0.274949468729615,"EP300","HGNC:3373"
"560","ENSNVIG00000000606",159.778131193076,1.2895740115787,0.494656839226281,2.60700734188935,0.00913374018428595,0.134596588482545,"ACER3","HGNC:16066"
"597","ENSNVIG00000000645",48.2888039818498,-1.33782974774045,0.46390934415177,-2.8838172039552,0.00392886739600946,0.085755862866787,"PHEX","HGNC:8918"
"610","ENSNVIG00000000659",58.1037200459364,0.92567397233174,0.464137757767421,1.99439488996625,0.0461089165254445,0.295683756684588,"DHRS11","HGNC:28639"
"614","ENSNVIG00000000663",16.8695563980404,-1.92570718824962,0.69034907053861,-2.78946879257357,0.00527945842117098,0.100644913711529,"DNAJB7","HGNC:24986"
"622","ENSNVIG00000000672",239.260539575589,-0.477441119617561,0.24029618280105,-1.98688599232911,0.0469350322553369,0.298117093373255,"TINF2","HGNC:11824"
"623","ENSNVIG00000000673",6432.62804077438,-1.32314943775813,0.521897185253706,-2.53526839221199,0.0112361201846344,0.150357441133659,"SMS","HGNC:11123"
"650","ENSNVIG00000000700",190.781563240836,1.52855784057881,0.634906140635907,2.40753355928774,0.0160606860308568,0.181738322274385,"MYO19","HGNC:26234"
"687","ENSNVIG00000000739",277.598323100075,-0.907606525610796,0.359405866508042,-2.52529691412393,0.0115600574856541,0.151871967623744,"FAM193A","HGNC:16822"
"692","ENSNVIG00000000744",20.5783808568894,-1.30017966502366,0.575506690750015,-2.2591912238748,0.0238714925061363,0.221387355211349,"CCT8L2","HGNC:15553"
"699","ENSNVIG00000000752",3101.29341330239,-1.03717774056302,0.445933981192653,-2.32585491195149,0.0200262920633526,0.2035874477048,"KMT2C","HGNC:13726"
"703","ENSNVIG00000000756",1390.4864679552,0.582417214953486,0.271472146546611,2.14540321120379,0.0319206225805053,0.256147000350914,"PTPRK","HGNC:9674"
"706","ENSNVIG00000000759",128.243246000652,-1.12023707039998,0.512227074519882,-2.18699308592775,0.0287430287372263,0.243542355119947,"FAXC","HGNC:20742"
"713","ENSNVIG00000000767",2856.80212468396,2.44541208221203,0.601774120621674,4.06367106595703,4.83068891354364e-05,0.00543905379859304,"ETNK1","HGNC:24649"
"737","ENSNVIG00000000794",2819.07915613774,0.810579949803619,0.380592748237597,2.12978295975726,0.0331895361481703,0.26181039680757,"ACADVL","HGNC:92"
"767","ENSNVIG00000000825",349.731087846506,0.765526900783397,0.314505878119524,2.43406229912329,0.014930425097998,0.174790894293215,"SLC25A30","HGNC:27371"
"773","ENSNVIG00000000831",203.170416503908,0.635779786802823,0.31900160672408,1.99303004562212,0.0462581571366284,0.295830632554606,"SH3BP2","HGNC:10825"
"783","ENSNVIG00000000843",33.6385314385132,-2.65223002768818,0.71565182075241,-3.70603406681719,0.000210529994037314,0.0149465924830826,"VANGL2","HGNC:15511"
"829","ENSNVIG00000000890",211.921616875905,1.07248885323971,0.33603208881589,3.19162630277052,0.00141474241767015,0.0477500415069373,"CDKL1","HGNC:1781"
"841","ENSNVIG00000000902",60.5115809868542,1.5690856361622,0.682193031965383,2.30006107163202,0.0214447603294928,0.211059211648698,"CA4","HGNC:1375"
"865","ENSNVIG00000000928",198.649868904505,-0.471066019415726,0.222479287231224,-2.1173477552818,0.0342303447014069,0.265070846973536,"NFATC4","HGNC:7778"
"870","ENSNVIG00000000933",751.035313946433,-0.749570889720188,0.295020771187685,-2.54073937473144,0.0110618342807836,0.149153600052332,"TSC22D4","HGNC:21696"
"876","ENSNVIG00000000939",124.011313309962,-1.4071941003933,0.57863530361317,-2.43191884699459,0.0150190719904116,0.175125295732857,"BCORL1","HGNC:25657"
"878","ENSNVIG00000000941",433.020511848587,2.3235343959038,0.590886776187655,3.93228362782973,8.41427049906613e-05,0.00772397875366504,"NCALD","HGNC:7655"
"879","ENSNVIG00000000942",104.673898401766,-1.2860983650537,0.586522409231733,-2.19275230547171,0.0283252299568928,0.240839654359138,"NYAP1","HGNC:22009"
"889","ENSNVIG00000000954",1006.45465475386,0.487390808341284,0.239969300871102,2.03105483314752,0.0422494325486117,0.283983594872099,"DRG1","HGNC:3029"
"894","ENSNVIG00000000959",8507.95206982729,1.21025985098354,0.295196476238326,4.09984518245549,4.13426611398141e-05,0.00492421844914877,"TSC22D1","HGNC:16826"
"896","ENSNVIG00000000961",234.085277855778,-1.02777645240392,0.301715482201396,-3.40644253620991,0.000658154035820671,0.030689914973134,"AGFG2","HGNC:5177"
"951","ENSNVIG00000001017",335.932096547236,-0.763890356365269,0.342397812647679,-2.23100244262162,0.0256809672157892,0.230789539253294,"NYNRIN","HGNC:20165"
"975","ENSNVIG00000001043",208.457839230214,-0.566823405359011,0.268306307927578,-2.11259813359293,0.0346351786111008,0.265254147710024,"LRCH4","HGNC:6691"
"1005","ENSNVIG00000001080",779.175348918676,1.22632170449896,0.440046475469617,2.78680042418298,0.00532312512277623,0.101076257272004,"MYO10","HGNC:7593"
"1012","ENSNVIG00000001088",464.006102965763,0.845849748876605,0.418155435432375,2.02281179964094,0.0430925546697316,0.286726637996386,"OSMR","HGNC:8507"
"1015","ENSNVIG00000001092",324.219416750813,-1.3050702245378,0.616743514632496,-2.11606639319987,0.0343391612456615,0.265070846973536,"FAM83F","HGNC:25148"
"1049","ENSNVIG00000001130",1635.26549399963,0.896139093062606,0.384327674442209,2.33170586625908,0.0197161700031078,0.202097753972113,"LIMK2","HGNC:6614"
"1052","ENSNVIG00000001133",81.2743216255065,-1.21945169356813,0.492487058645195,-2.47610911223288,0.0132822979033716,0.164761573976498,"UBASH3B","HGNC:29884"
"1073","ENSNVIG00000001157",70.9436690751857,-1.46055602384986,0.428866181600602,-3.40562181517511,0.000660135556596692,0.030689914973134,"FGD1","HGNC:3663"
"1083","ENSNVIG00000001169",1388.54743377176,-1.17221310314999,0.497987689188466,-2.35389976218139,0.0185776199747726,0.195146252971154,"LIFR","HGNC:6597"
"1153","ENSNVIG00000001244",459.729236421924,0.932871790782199,0.39544639064984,2.35903478408086,0.0183225382375261,0.193595616626999,"PBDC1","HGNC:28790"
